trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
25,0,25,0,10,75.99672520020977,75.99672520020977,0.10189080005511642,77.04668680019677,[-0.3611111111111111],[-0.003472222222222222],[1],[0],[0],[1.9353541999589652],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
26,0,26,0,10,78.07870010007173,78.07870010007173,0.13378120004199445,79.14540560008027,[0.39814814814814814],[-0.33912037037037035],[1],[0],[0],[3.6162505000829697],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
27,0,27,0,10,81.85800640005618,81.85800640005618,0.1257931999862194,82.8906747000292,[0.33449074074074076],[0.06597222222222222],[1],[0],[0],[2.463088700082153],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
28,0,28,0,5,84.35559160006233,84.35559160006233,0.05302290013059974,85.38919930020347,[0.3148148148148148],[-0.44907407407407407],[1],[0],[0],[2.2634544998873025],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
29,0,29,0,10,86.83642050018534,86.83642050018534,0.20601680013351142,87.88648860016838,[-0.2847222222222222],[-0.18171296296296297],[1],[0],[0],[1.9290970000438392],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
30,0,30,0,10,89.00130870006979,89.00130870006979,0.202979699941352,90.03461590013467,[0.006944444444444444],[-0.0798611111111111],[1],[0],[0],[2.0821221999358386],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
31,0,31,0,10,91.16595850000158,91.16595850000158,0.08471290022134781,92.23259560018778,[-0.09953703703703703],[-0.44560185185185186],[1],[0],[0],[2.4563791998662055],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
32,0,32,0,5,93.69781890022568,93.69781890022568,0.059686099877581,94.74701600009575,[0.016203703703703703],[-0.3854166666666667],[1],[0],[0],[1.9559786000754684],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
33,0,33,0,10,95.86233340017498,95.86233340017498,0.17427739989943802,96.91203060001135,[0.06712962962962964],[0.14467592592592593],[1],[0],[0],[2.3628893001005054],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
34,0,34,0,10,98.30916010006331,98.30916010006331,0.0902617999818176,99.35948590002954,[0.40625],[-0.4895833333333333],[1],[0],[0],[2.589804599992931],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
