pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,30,3,123,3,,,,,370.2060263999738,371.20508579997113,371.20508579997113,371.20508579997113,371.20508579997113,371.2384424000047,372.22116999997525,372.22116999997525,z,1,0.3843963999534026,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,31,0,124,0,,,,,372.6543770999997,373.65343419997953,373.65343419997953,373.65343419997953,373.65343419997953,373.6860638000071,374.65192319999915,374.65192319999915,x,1,0.6435724999755621,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,31,1,125,1,,,,,375.35135359998094,376.35049719997915,376.35049719997915,376.35049719997915,376.35049719997915,376.3842981000198,377.34918229997857,377.34918229997857,v,1,0.4608667000429705,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,31,2,126,2,,,,,377.8491203999729,378.8479341000202,378.8479341000202,378.8479341000202,378.8479341000202,378.8811313000042,379.86397240002407,379.86397240002407,c,1,0.525008800032083,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,31,3,127,3,,,,,380.4296688999748,381.4291013000184,381.4291013000184,381.4291013000184,381.4291013000184,381.4623208999983,382.42821290000575,382.42821290000575,z,1,0.43643299996620044,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,32,0,128,0,,,,,382.91203990002396,383.9098913000198,383.9098913000198,383.9098913000198,383.9098913000198,383.9433994999854,384.9430855999817,384.9430855999817,x,1,0.7764921999769285,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,32,1,129,1,,,,,385.7749694000231,386.77388450002763,386.77388450002763,386.77388450002763,386.77388450002763,386.8079148000106,387.77243890002137,387.77243890002137,v,1,0.5049493999686092,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,32,2,130,2,,,,,388.3389059000183,389.3382444999879,389.3382444999879,389.3382444999879,389.3382444999879,389.3715565999737,390.3374318999704,390.3374318999704,c,1,0.30544980004196987,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,32,3,131,3,,,,,390.70385779999197,391.70277430000715,391.70277430000715,391.70277430000715,391.70277430000715,391.7367926000152,392.7021277999738,392.7021277999738,z,1,0.3265358000062406,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,33,0,132,0,,,,,393.0680269000004,394.06739909999305,394.06739909999305,394.06739909999305,394.06739909999305,394.1003740999731,395.0661044999724,395.0661044999724,x,1,0.4449683999991976,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,33,1,133,1,,,,,395.56568120000884,396.5647869000095,396.5647869000095,396.5647869000095,396.5647869000095,396.5981288999901,397.56421859998954,397.56421859998954,v,1,0.3351703999796882,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,33,2,134,2,,,,,397.96377769997343,398.9624622000265,398.9624622000265,398.9624622000265,398.9624622000265,398.9957119000028,399.9610097000259,399.9610097000259,c,1,0.3422603000071831,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,33,3,135,3,,,,,400.36149330000626,401.36018989997683,401.36018989997683,401.36018989997683,401.36018989997683,401.39366409997456,402.3581536000129,402.3581536000129,z,1,0.3404823999735527,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,34,0,136,0,,,,,402.72688909998396,403.7412716000108,403.7412716000108,403.7412716000108,403.7412716000108,403.7412716000108,404.7399893000256,404.7399893000256,x,1,0.28047800000058487,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
